english,vietnamese,ipa,category,definition,example,level
Rate Parity,Bình đẳng giá,[reɪt ˈperəti],Revenue,Consistent pricing,Maintain rate parity.,Advanced
OTA,Đại lý du lịch trực tuyến,[oʊ tiː eɪ],Revenue,Online Travel Agent,Manage OTA relationships.,Advanced
Distribution Channels,Kênh phân phối,[ˌdɪstrəˈbjuːʃən ˈtʃænəlz],Revenue,Booking sources,Diversify distribution channels.,Advanced
Direct Bookings,Đặt phòng trực tiếp,[dəˈrekt ˈbʊkɪŋz],Revenue,Hotel website reservations,Increase direct bookings.,Advanced
Commission,Hoa hồng,[kəˈmɪʃən],Revenue,Agent payment,15% commission rate.,Advanced
Net Rate,Giá thuần,[net reɪt],Revenue,Rate without commission,Quote net rate.,Advanced
BAR,Giá tốt nhất có sẵn,[bɑːr],Revenue,Best Available Rate,BAR pricing strategy.,Advanced
Package Rate,Giá gói,[ˈpækɪdʒ reɪt],Revenue,Bundled pricing,Romance package rate.,Advanced
Group Rate,Giá đoàn,[gruːp reɪt],Revenue,Multiple room discount,Special group rate.,Advanced
Shoulder Season,Mùa trung bình,[ˈʃoʊldər ˈsiːzən],Revenue,Medium demand period,Shoulder season pricing.,Advanced
Peak Season,Mùa cao điểm,[piːk ˈsiːzən],Revenue,High demand period,Peak season rates.,Advanced
Low Season,Mùa thấp điểm,[loʊ ˈsiːzən],Revenue,Low demand period,Low season promotions.,Advanced
Minimum Stay,Lưu trú tối thiểu,[ˈmɪnəməm steɪ],Revenue,Required night duration,3-night minimum stay.,Advanced
Advance Purchase,Mua trước,[ədˈvæns ˈpɜːrtʃəs],Revenue,Early booking discount,21-day advance purchase.,Advanced
Last Minute Rate,Giá phút cuối,[læst ˈmɪnət reɪt],Revenue,Short notice pricing,Last minute rate available.,Advanced
Length of Stay,Thời gian lưu trú,[leŋθ əv steɪ],Revenue,Duration pricing,Optimize length of stay.,Advanced
General Manager,Tổng giám đốc,[ˈdʒenərəl ˈmænɪdʒər],Management,Hotel top executive,Meet with general manager.,Advanced
Assistant Manager,Phó giám đốc,[əˈsɪstənt ˈmænɪdʒər],Management,Deputy manager,Assistant manager on duty.,Advanced
Department Head,Trưởng bộ phận,[dɪˈpɑːrtmənt hed],Management,Division leader,Department head meeting.,Advanced
Supervisor,Giám sát viên,[ˈsuːpərˌvaɪzər],Management,Team leader,Night shift supervisor.,Advanced
Team Leader,Trưởng nhóm,[tiːm ˈliːdər],Management,Group coordinator,Housekeeping team leader.,Advanced
Shift Manager,Quản lý ca,[ʃɪft ˈmænɪdʒər],Management,Duty period supervisor,Call shift manager.,Advanced
Operations Manager,Quản lý vận hành,[ˌɑːpəˈreɪʃənz ˈmænɪdʒər],Management,Daily operations head,Operations manager review.,Advanced
Human Resources,Nhân sự,[ˈhjuːmən ˈriːsɔːrsəz],Management,Staff management,HR department handles hiring.,Advanced
Training Program,Chương trình đào tạo,[ˈtreɪnɪŋ ˈproʊgræm],Management,Employee education,Mandatory training program.,Advanced
Performance Review,Đánh giá hiệu suất,[pərˈfɔːrməns rɪˈvjuː],Management,Employee evaluation,Annual performance review.,Advanced
KPI,Chỉ số hiệu suất chính,[keɪ piː aɪ],Management,Key Performance Indicator,Track monthly KPIs.,Advanced
SOP,Quy trình vận hành chuẩn,[es oʊ piː],Management,Standard Operating Procedure,Follow SOP guidelines.,Advanced
Quality Assurance,Đảm bảo chất lượng,[ˈkwɑːləti əˈʃʊrəns],Management,Service standards,Quality assurance audit.,Advanced
Brand Standards,Tiêu chuẩn thương hiệu,[brænd ˈstændərdz],Management,Company requirements,Maintain brand standards.,Advanced
Service Recovery,Phục hồi dịch vụ,[ˈsɜːrvɪs rɪˈkʌvəri],Management,Problem resolution,Implement service recovery.,Advanced
Guest Experience,Trải nghiệm khách hàng,[gest ɪkˈspɪriəns],Management,Customer journey,Enhance guest experience.,Advanced
Mystery Shopper,Khách hàng bí ẩn,[ˈmɪstəri ˈʃɑːpər],Management,Secret evaluator,Mystery shopper visit.,Advanced
Audit,Kiểm toán,[ˈɔːdət],Management,Inspection review,Monthly audit results.,Advanced
Compliance,Tuân thủ,[kəmˈplaɪəns],Management,Rule adherence,Ensure full compliance.,Advanced
Risk Management,Quản lý rủi ro,[rɪsk ˈmænɪdʒmənt],Management,Hazard control,Risk management protocol.,Advanced
Crisis Management,Quản lý khủng hoảng,[ˈkraɪsəs ˈmænɪdʒmənt],Management,Emergency response,Crisis management plan.,Advanced
Succession Planning,Kế hoạch kế nhiệm,[səkˈseʃən ˈplænɪŋ],Management,Leadership development,Succession planning important.,Advanced
Change Management,Quản lý thay đổi,[tʃeɪndʒ ˈmænɪdʒmənt],Management,Transition leadership,Change management skills.,Advanced
Stakeholder,Bên liên quan,[ˈsteɪkˌhoʊldər],Management,Interest parties,Inform all stakeholders.,Advanced
ROI,Tỷ suất sinh lời,[ɑːr oʊ aɪ],Management,Return on Investment,Calculate ROI.,Advanced
Budget Planning,Lập kế hoạch ngân sách,[ˈbʌdʒət ˈplænɪŋ],Management,Financial forecasting,Annual budget planning.,Advanced
Cost Control,Kiểm soát chi phí,[kɔːst kənˈtroʊl],Management,Expense management,Implement cost control.,Advanced
Profit Margin,Biên lợi nhuận,[ˈprɑːfət ˈmɑːrdʒən],Management,Earnings percentage,Improve profit margins.,Advanced
Benchmarking,So sánh chuẩn,[ˈbentʃmɑːrkɪŋ],Management,Performance comparison,Industry benchmarking.,Advanced
Innovation,Đổi mới,[ˌɪnəˈveɪʃən],Management,Creative improvement,Drive innovation.,Advanced
